Energia,Sala Telecom - Seccionadoras de Via 3kV,PCSV-UTR-01,"Telvent/
Schneider",SAITEL DP2000,Ethernet,IEC 60870 TCP/IP -5-104,Controlador das Chaves Seccionadoras de Via.,SCL,-,RA - Chave Seccionadora de Via 3Kv
Civil,Salas Técnicas,QGD-CLP-01\BC-01,Altus,NX3010,Ethernet,Modbus TCP,"Bomba de consumo 01, monitorada pelo CLP do QGD.",SCL,QGD,QGD – Quadro geral de distribuição – NX3010
Civil,Salas Técnicas,QGD-CLP-01\BC-02,Altus,NX3010,Ethernet,Modbus TCP,"Bomba de consumo 02, monitorada pelo CLP do QGD.",SCL,QGD,QGD – Quadro geral de distribuição – NX3010
Telecom,SCAP,Bloqueio-01,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 01. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-02,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 02. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-03,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 03. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-04,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 04. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-05,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 05. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-06,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 06. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SCAP,Bloqueio-07,T'TRANS,-,Ethernet,Banco de Dados Firebird,SCAP - Bloqueio 07. Integração pelo banco Firebird,SCAP,-,Bloqueios
Telecom,SMM,SMM-01,-,-,Ethernet,Webservice,Servidor do Sistema de Multimiídia.,SMM,-,None
Telecom,SME,SME-01,-,-,Ethernet,WebBrowser,Servidor do sistema de câmeras - X Câmeras.,SME,-,Câmeras - CFTV / SME / SVMD
Telecom,SCA,SCA-01,-,-,Ethernet,Webservice,Servidor do sistema de controle de acesso - X Pontos.,SCA,-,None
Telecom,SSX,SSX-01,-,-,Ethernet,SNMP,Sistema de Solicitação de Auxílio ao Usuário - X pontos.,SCL,-,SSX - Sistema de Solicitação de Auxílio ao Usuário
